Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 307,0.0000,0.0000,504700.0000,0.0000
Test 308,0.0000,0.0000,0.0000,0.0000
Test 309,0.0000,0.0000,0.0000,0.0000
Test 310,0.0000,0.0000,0.0000,0.0000
Test 311,0.0000,0.0000,0.0000,0.0000
Test 312,0.0000,0.0000,0.0000,0.0000
Test 313,0.0000,0.0000,0.0000,0.0000
Test 314,0.0000,0.0000,0.0000,0.0000
Test 315,0.0000,0.0000,0.0000,0.0000
Test 316,0.0000,0.0000,0.0000,0.0000
Test 317,0.0000,0.0000,0.0000,0.0000
Test 318,0.0000,0.0000,0.0000,0.0000
Test 319,0.0000,0.0000,0.0000,0.0000
Test 320,0.0000,0.0000,0.0000,0.0000
Test 321,0.0000,0.0000,0.0000,0.0000
Test 322,0.0000,0.0000,0.0000,0.0000
Test 323,0.0000,0.0000,0.0000,0.0000
Test 324,0.0000,0.0000,0.0000,0.0000
Test 325,0.0000,0.0000,0.0000,0.0000
Test 326,0.0000,0.0000,0.0000,0.0000
Test 327,0.0000,0.0000,0.0000,0.0000
Test 328,0.0000,0.0000,0.0000,0.0000
Test 329,1.0002,0.0000,0.0000,0.0000
Test 330,0.0000,0.0000,0.0000,0.0000
Test 331,0.0000,0.0000,0.0000,0.0000
Test 332,0.0000,0.0000,0.0000,0.0000
Test 333,0.0000,0.0000,0.0000,0.0000
Test 334,0.0000,0.0000,0.0000,0.0000
Test 335,0.0000,0.0000,0.0000,0.0000
Test 336,0.0000,0.0000,0.0000,0.0000
Test 337,0.0000,0.0000,0.0000,0.0000
Test 338,0.0000,0.0000,0.0000,0.0000
Test 339,0.0000,0.0000,0.0000,0.0000
Test 340,0.0000,0.0000,0.0000,0.0000
Test 341,0.0000,0.0000,1000200.0000,0.0000
Test 342,0.0000,0.0000,0.0000,0.0000
Test 343,0.0000,0.0000,0.0000,0.0000
Test 344,0.0000,0.0000,0.0000,0.0000
Test 345,0.0000,0.0000,0.0000,0.0000
Test 346,0.0000,0.0000,0.0000,0.0000
Test 347,0.0000,0.0000,0.0000,0.0000
